Giocatore,Giornata,Team,Role,Score,Prob_Gol,Pred_Gol_Pesata
vincenzo fiorillo,G8,Salernitana,P,0.0,0.0,0.0
alessandro sorentino,G8,Monza,P,0.0,0.0,0.0
alessio cragno,G8,Sassuolo,P,0.0,0.0,0.0
alessio furlanetto,G8,Lazio,P,0.0,0.0,0.0
raffaele di gennaro,G8,Inter,P,0.0,0.0,0.0
daniel theiner,G8,Sassuolo,P,0.0,0.0,0.0
pierluigi frattali,G8,Frosinone,P,0.0,0.0,0.0
daniele sommariva,G8,Genoa,P,0.0,0.0,0.0
oliver christensen,G8,Fiorentina,P,0.0,0.0,0.0
noah raveyre,G8,AC Milan,P,0.0,0.0,0.0
daniele padelli,G8,Udinese,P,0.0,0.0,0.0
mattia chiesa,G8,Verona,P,0.0,0.0,0.0
carlo pinsoglio,G8,Juventus,P,0.0,0.0,0.0
mihai popa,G8,Torino,P,0.0,0.0,0.0
nikita contini,G8,Napoli,P,0.0,0.0,0.0
simone perilli,G8,Verona,P,0.0,0.0,0.0
marius adamonis,G8,Lazio,P,0.0,0.0,0.0
franz stolz,G8,Genoa,P,0.0,0.0,0.0
gianluca pegolo,G8,Sassuolo,P,0.0,0.0,0.0
giacomo toniolo,G8,Verona,P,0.0,0.0,0.0
simone aresti,G8,Cagliari,P,0.0,0.0,0.0
antonio mirante,G8,AC Milan,P,0.0,0.0,0.0
alexandru borbei,G8,Lecce,P,0.0,0.0,0.0
alessandro berardi,G8,Verona,P,0.0,0.0,0.0
tommaso vannucchi,G8,Fiorentina,P,0.0,0.0,0.0
tommaso martinelli,G8,Fiorentina,P,0.0,0.0,0.0
andrea bartoccioni,G8,AC Milan,P,0.0,0.0,0.0
stefano gori,G8,Monza,P,0.0,0.0,0.0
jasper samooja,G8,Lecce,P,0.0,0.0,0.0
lapo nava,G8,AC Milan,P,0.0,0.0,0.0
hubert idasiak,G8,Napoli,P,0.0,0.0,0.0
lorenzo torriani,G8,AC Milan,P,0.0,0.0,0.0
vanja milinkovic-savic,G9,Torino,P,10.0,0.0,0.0
yann sommer,G9,Inter,P,9.941126241517232,0.0,0.0
wojciech szczesny,G9,Juventus,P,8.7465731877219,0.0,0.0
michele di gregorio,G9,Monza,P,8.336254550357287,0.0,0.0
lukasz skorupski,G9,Bologna,P,8.150195496831603,0.0,0.0
mike maignan,G9,AC Milan,P,7.2239449912363485,0.0,0.0
ivan provedel,G9,Lazio,P,7.020808053570625,0.0,0.0
marco carnesecchi,G9,Atalanta,P,6.906655880634578,0.0,0.0
josep martinez,G9,Genoa,P,6.847332704148128,0.0,0.0
pietro terracciano,G9,Fiorentina,P,6.720596827108893,0.0,0.0
lorenzo montipo,G9,Verona,P,6.697227090917261,0.0,0.0
wladimiro falcone,G9,Lecce,P,6.397465282459216,0.0,0.0
elia caprile,G9,Empoli,P,6.204215540874567,0.0,0.0
rui patricio,G9,Roma,P,5.942654262729764,0.0,0.0
maduka okoye,G9,Udinese,P,5.898611298368613,0.0,0.0
alex meret,G9,Napoli,P,5.569637319671027,0.0,0.0
stefano turati,G9,Frosinone,P,5.078872859646755,0.0,0.0
andrea consigli,G9,Sassuolo,P,4.835737719653049,0.0,0.0
simone scuffet,G9,Cagliari,P,4.832591793627252,0.0,0.0
guillermo ochoa,G9,Salernitana,P,4.0919509235539975,0.0,0.0
juan musso,G9,Atalanta,P,1.6179048132668192,0.0,0.0
mile svilar,G9,Roma,P,1.3482540110556829,0.0,0.0
federico ravaglia,G9,Bologna,P,1.0786032088445463,0.0,0.0
marco silvestri,G9,Udinese,P,1.0786032088445463,0.0,0.0
christos mandas,G9,Lazio,P,1.0786032088445463,0.0,0.0
etrit berisha,G9,Empoli,P,1.0786032088445463,0.0,0.0
boris radunovic,G9,Cagliari,P,0.5393016044222732,0.0,0.0
michele cerofolini,G9,Frosinone,P,0.5393016044222732,0.0,0.0
marco sportiello,G9,AC Milan,P,0.5393016044222732,0.0,0.0
emil audero,G9,Inter,P,0.5393016044222732,0.0,0.0
pierluigi gollini,G9,Napoli,P,0.2696508022111366,0.0,0.0
mattia perin,G9,Juventus,P,0.2696508022111366,0.0,0.0
benoit costil,G9,Salernitana,P,0.2696508022111366,0.0,0.0
lovro stubljar,G9,Empoli,P,0.0,0.0,0.0
luca gemello,G9,Torino,P,0.0,0.0,0.0
luigi sepe,G9,Salernitana,P,0.0,0.0,0.0
francesco rossi,G9,Atalanta,P,0.0,0.0,0.0
samuele perisan,G9,Empoli,P,0.0,0.0,0.0
pietro boer,G9,Roma,P,0.0,0.0,0.0
nicola bagnolini,G9,Bologna,P,0.0,0.0,0.0
michele avella,G9,Frosinone,P,0.0,0.0,0.0
nicola leali,G9,Genoa,P,0.0,0.0,0.0
federico brancolini,G9,Lecce,P,0.0,0.0,0.0
eugenio lamanna,G9,Monza,P,0.0,0.0,0.0
vincenzo fiorillo,G9,Salernitana,P,0.0,0.0,0.0
alessandro sorentino,G9,Monza,P,0.0,0.0,0.0
alessio cragno,G9,Sassuolo,P,0.0,0.0,0.0
alessio furlanetto,G9,Lazio,P,0.0,0.0,0.0
raffaele di gennaro,G9,Inter,P,0.0,0.0,0.0
daniel theiner,G9,Sassuolo,P,0.0,0.0,0.0
pierluigi frattali,G9,Frosinone,P,0.0,0.0,0.0
daniele sommariva,G9,Genoa,P,0.0,0.0,0.0
