Giocatore,Team,Role,Score_norm,Prob_Gol,Pred_Gol_Pesata,Etichetta_Predetta
lazar samardzic,Udinese,C,0.7407761092758207,0.1603,0.2023,consigliato
tijjani reijnders,AC Milan,C,0.7374313759986805,0.0749,0.1153,consigliato
mario pasalic,Atalanta,C,0.7367436611029462,0.2377,0.2275,consigliato
giacomo bonaventura,Fiorentina,C,0.7352489920977727,0.2637,0.1773,consigliato
nicolo barella,Inter,C,0.730139511463939,0.0463,0.0736,non consigliato
ivan ilic,Torino,C,0.726598725773892,0.0749,0.1003,consigliato
henrikh mkhitaryan,Inter,C,0.713269955127861,0.0338,0.0736,non consigliato
piotr zielinski,Napoli,C,0.7109329410033326,0.0749,0.0861,non consigliato
felipe anderson,Lazio,C,0.7096368092898793,0.1073,0.0986,non consigliato
lewis ferguson,Bologna,C,0.7006488504037295,0.1831,0.1236,consigliato
lorenzo pellegrini,Roma,C,0.6794004829979079,0.2197,0.1778,consigliato
adrien rabiot,Juventus,C,0.6522715758283562,0.1229,0.1403,consigliato
leandro paredes,Roma,C,0.6499368223675822,0.0749,0.0861,non consigliato
andre-frank zambo anguissa,Napoli,C,0.645236427250458,0.0,0.0,non consigliato
yacine adli,AC Milan,C,0.6420345786191055,0.0213,0.0611,non consigliato
bryan cristante,Roma,C,0.6310263186350887,0.0213,0.0611,non consigliato
ondrej duda,Verona,C,0.6210522907200916,0.0213,0.0611,non consigliato
alfred duncan,Fiorentina,C,0.612211604101011,0.0463,0.0736,non consigliato
remi oudin,Lecce,C,0.6116096360374965,0.0749,0.0861,non consigliato
weston mckennie,Juventus,C,0.6097838219611645,0.0,0.0,non consigliato
stanislav lobotka,Napoli,C,0.6096000622931143,0.0,0.0,non consigliato
mattia zaccagni,Lazio,C,0.6070135070936132,0.1946,0.215,consigliato
ederson,Atalanta,C,0.6047737755632112,0.1603,0.1236,non consigliato
manuel locatelli,Juventus,C,0.5967907033146689,0.0213,0.0611,non consigliato
kristian thorstvedt,Sassuolo,C,0.5888013530444892,0.1229,0.1425,non consigliato
ruben loftus-cheek,AC Milan,C,0.5879509444111052,0.1334,0.1236,non consigliato
matheus henrique,Sassuolo,C,0.5833697267971192,0.0347,0.0736,non consigliato
daichi kamada,Lazio,C,0.5799796794509622,0.0463,0.0878,consigliato
remo freuler,Bologna,C,0.5781805983920597,0.0213,0.0611,non consigliato
sandi lovric,Udinese,C,0.5777792164110744,0.0213,0.0611,non consigliato
roberto gagliardini,Monza,C,0.57036648556069,0.0213,0.0611,non consigliato
ismael bennacer,AC Milan,C,0.5675288074386936,0.0347,0.1523,consigliato
filip kostic,Juventus,C,0.5556861424282179,0.0,0.0,non consigliato
